成都酒店源,#genre#
CCTV-1,http://182.150.23.74:808/hls/1/index.m3u8
CCTV-2,http://182.150.23.74:808/hls/2/index.m3u8
CCTV-3,http://182.150.23.74:808/hls/3/index.m3u8
CCTV-4,http://182.150.23.74:808/hls/4/index.m3u8
CCTV-5,http://182.150.23.74:808/hls/5/index.m3u8
CCTV-6,http://182.150.23.74:808/hls/6/index.m3u8
CCTV-7,http://182.150.23.74:808/hls/7/index.m3u8
CCTV-8,http://182.150.23.74:808/hls/8/index.m3u8
CCTV-9,http://182.150.23.74:808/hls/9/index.m3u8
CCTV-10,http://182.150.23.74:808/hls/10/index.m3u8
CCTV-11+,http://182.150.23.74:808/hls/11/index.m3u8
CCTV-12,http://182.150.23.74:808/hls/12/index.m3u8
CCTV-新闻,http://182.150.23.74:808/hls/13/index.m3u8
CCTV-14,http://182.150.23.74:808/hls/14/index.m3u8
CCTV-15+音乐,http://182.150.23.74:808/hls/15/index.m3u8
CCTV-5+,http://182.150.23.74:808/hls/16/index.m3u8
北京卫视,http://182.150.23.74:808/hls/17/index.m3u8
江苏卫视,http://182.150.23.74:808/hls/18/index.m3u8
东方卫视,http://182.150.23.74:808/hls/19/index.m3u8
深圳卫视,http://182.150.23.74:808/hls/20/index.m3u8
湖南卫视,http://182.150.23.74:808/hls/21/index.m3u8
浙江卫视,http://182.150.23.74:808/hls/22/index.m3u8
山东卫视,http://182.150.23.74:808/hls/23/index.m3u8
东南卫视（福建卫视）,http://182.150.23.74:808/hls/24/index.m3u8
安徽卫视,http://182.150.23.74:808/hls/25/index.m3u8
贵州卫视,http://182.150.23.74:808/hls/26/index.m3u8
天津卫视,http://182.150.23.74:808/hls/27/index.m3u8
湖北卫视,http://182.150.23.74:808/hls/28/index.m3u8
云南卫视,http://182.150.23.74:808/hls/29/index.m3u8
江西卫视,http://182.150.23.74:808/hls/30/index.m3u8
广西卫视,http://182.150.23.74:808/hls/31/index.m3u8
广东卫视,http://182.150.23.74:808/hls/32/index.m3u8
河南卫视,http://182.150.23.74:808/hls/33/index.m3u8
黑龙江卫视,http://182.150.23.74:808/hls/34/index.m3u8
吉林卫视,http://182.150.23.74:808/hls/35/index.m3u8
陕西卫视,http://182.150.23.74:808/hls/36/index.m3u8
内蒙古卫视,http://182.150.23.74:808/hls/37/index.m3u8
四川卫视,http://182.150.23.74:808/hls/38/index.m3u8
SCTV-5(四川影视,http://182.150.23.74:808/hls/39/index.m3u8
峨眉电影高清,http://182.150.23.74:808/hls/40/index.m3u8
CCTV-1高清,http://182.150.63.29:8080/udp/239.93.0.184:5140
CCTV-2高清,http://182.150.63.29:8080/udp/239.93.1.23:6000
CCTV-3高清,http://182.150.63.29:8080/udp/239.93.1.11:2223
CCTV-4高清,http://182.150.63.29:8080/udp/239.93.1.105:5140

CCTV-5高清,http://182.150.63.29:8080/udp/239.93.42.37:5140
CCTV-6高清,http://182.150.63.29:8080/udp/239.93.1.13:2226
CCTV-7高清,http://182.150.63.29:8080/udp/239.93.1.67:5140
CCTV-8高清,http://182.150.63.29:8080/udp/239.93.42.39:5140
CCTV-9高清,http://182.150.63.29:8080/udp/239.93.1.24:5140
CCTV-10高清,http://182.150.63.29:8080/udp/239.93.1.28:5140
CCTV-11高清,http://182.150.63.29:8080/udp/239.93.0.102:5140
CCTV-12高清,http://182.150.63.29:8080/udp/239.93.1.30:8124
CCTV-13高清,http://182.150.63.29:8080/udp/239.93.0.66:5140
CCTV-少儿高清,http://182.150.63.29:8080/udp/239.93.1.29:6000
CCTV-15高清,http://182.150.63.29:8080/udp/239.93.0.103:5140
CCTV-17高清,http://182.150.63.29:8080/udp/239.93.0.92:5140
四川卫视高清,http://182.150.63.29:8080/udp/239.93.0.20:1235
CDTV-1高清,http://182.150.63.29:8080/udp/239.93.0.16:5140
湖南卫视高清,http://182.150.63.29:8080/udp/239.93.0.88:5140
江苏卫视高清,http://182.150.63.29:8080/udp/239.93.0.89:5140
浙江卫视高清,http://182.150.63.29:8080/udp/239.93.0.124:5140
东方卫视高清,http://182.150.63.29:8080/udp/239.93.0.123:5140
北京卫视高清,http://182.150.63.29:8080/udp/239.93.0.180:5140
深圳卫视高清,http://182.150.63.29:8080/udp/239.93.0.182:5140
广东卫视高清,http://182.150.63.29:8080/udp/239.93.0.181:5140
天津卫视高清,http://182.150.63.29:8080/udp/239.93.0.167:5140
山东卫视高清,http://182.150.63.29:8080/udp/239.93.0.168:5140
SCTV-2高清,http://182.150.63.29:8080/udp/239.93.1.101:5140
SCTV-3高清,http://182.150.63.29:8080/udp/239.93.1.102:5140
SCTV-4高清,http://182.150.63.29:8080/udp/239.93.0.47:5140
SCTV-5高清,http://182.150.63.29:8080/udp/239.93.0.166:5140
SCTV-6高清,http://182.150.63.29:8080/udp/239.93.1.144:5140
SCTV-7高清,http://182.150.63.29:8080/udp/239.93.0.219:5140
SCTV-科教高清,http://182.150.63.29:8080/udp/239.93.42.44:5140
四川乡村高清,http://182.150.63.29:8080/udp/239.93.0.52:5140
康巴卫视高清,http://182.150.63.29:8080/udp/239.93.0.41:5140
江西卫视高清,http://182.150.63.29:8080/udp/239.93.0.134:5140
东南卫视高清,http://182.150.63.29:8080/udp/239.93.0.42:5140
