CCTV频道,#genre#
CCTV-1,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227479/index.m3u8
CCTV-2,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227477/index.m3u8
CCTV-3,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227435/index.m3u8
CCTV-4,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227373/index.m3u8
CCTV-16-4K,http://36.105.40.21:8083/udp/238.125.2.168:5140
CCTV-16-4K,http://36.105.40.21:8083/udp/238.125.5.120:5140
CCTV-5,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227491/index.m3u8
CCTV-5+,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227493/index.m3u8
CCTV-6,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227431/index.m3u8
CCTV-7,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227429/index.m3u8
CCTV-8,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227427/index.m3u8
CCTV-9,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227425/index.m3u8
CCTV-10,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227375/index.m3u8
CCTV-11,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227922/index.m3u8
CCTV-12,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227377/index.m3u8
CCTV-13,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227926/index.m3u8
CCTV-14,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227379/index.m3u8
CCTV-15,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227918/index.m3u8
CCTV-17,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227577/index.m3u8
CCTV-10,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227809/index.m3u8
CCTV-1,http://www.ly123.fun:10000/rtp/235.254.198.51:1480
CCTV-2,http://www.ly123.fun:10000/rtp/235.254.198.52:1484
CCTV-3,http://www.ly123.fun:10000/rtp/235.254.198.53:1488
CCTV-4,http://www.ly123.fun:10000/rtp/235.254.198.183:7980
CCTV-5,http://www.ly123.fun:10000/rtp/235.254.198.54:1492
CCTV-5+,http://www.ly123.fun:10000/rtp/235.254.198.122:1764
CCTV-6,http://www.ly123.fun:10000/rtp/235.254.198.55:1496
CCTV-7,http://www.ly123.fun:10000/rtp/235.254.198.56:1500
CCTV-8,http://www.ly123.fun:10000/rtp/235.254.198.57:1504
CCTV-9,http://www.ly123.fun:10000/rtp/235.254.198.58:1508
CCTV-10,http://www.ly123.fun:10000/rtp/235.254.198.59:1512
CCTV-11,http://www.ly123.fun:10000/rtp/235.254.198.7:1304
CCTV-12,http://www.ly123.fun:10000/rtp/235.254.198.60:1516
CCTV-13,http://www.ly123.fun:10000/rtp/235.254.198.9:1312
CCTV-15,http://www.ly123.fun:10000/rtp/235.254.198.11:1320
CCTV-少儿,http://www.ly123.fun:10000/rtp/235.254.198.61:1520

CCTV-1,http://36.105.40.21:8083/udp/238.125.0.1:5140
CCTV-1,http://36.105.40.21:8083/udp/238.125.4.1:5140
CCTV-1,http://36.105.40.21:8083/udp/238.125.5.96:5140
CCTV-1,http://36.105.40.21:8083/udp/238.125.5.1:5140
CCTV-1,http://36.105.40.21:8083/udp/238.125.1.1:5140
CCTV-2,http://36.105.40.21:8083/udp/238.125.4.2:5140
CCTV-2,http://36.105.40.21:8083/udp/238.125.0.2:5140
